  SafeAreaView has been deprecated and will be removed in a future release. Please use 'react-native-safe-area-context' instead. See https://github.com/th3rdwave/react-native-safe-area-context
 LOG  [BambooFlute mapping] C Major
hole=1 target=C4 source=FluteClean2_C2.wav shift=0 playbackRate=1.000 key=C Major|hole-1|C4
 LOG  [BambooFlute release] hole=5 degree=5 scale=G Major target=D5 targetMidi=74 source=FluteClean2_D#3.wav sourceMidi=75 shift=-1 playbackRate=0.944 key=G Major|hole-5|D5 pointer=0
 LOG  [BambooFlute press] hole=2 degree=2 scale=G Major target=A4 targetMidi=69 source=FluteClean2_A2.wav sourceMidi=69 shift=0 playbackRate=1.000 key=G Major|hole-2|A4 pointer=0
 LOG  [BambooFlute release] hole=2 degree=2 scale=G Major target=A4 targetMidi=69 source=FluteClean2_A2.wav sourceMidi=69 shift=0 playbackRate=1.000 key=G Major|hole-2|A4 pointer=0
 LOG  [BambooFlute press] hole=1 degree=1 scale=G Major target=G4 targetMidi=67 source=FluteClean2_F#2.wav sourceMidi=66 shift=1 playbackRate=1.059 key=G Major|hole-1|G4 pointer=0
 LOG  [BambooFlute press] hole=2 degree=2 scale=G Major target=A4 targetMidi=69 source=FluteClean2_A2.wav sourceMidi=69 shift=0 playbackRate=1.000 key=G Major|hole-2|A4 pointer=0
 LOG  [BambooFlute press] hole=3 degree=3 scale=G Major target=B4 targetMidi=71 source=FluteClean2_C3.wav sourceMidi=72 shift=-1 playbackRate=0.944 key=G Major|hole-3|B4 pointer=0
 LOG  [BambooFlute press] hole=4 degree=4 scale=G Major target=C5 targetMidi=72 source=FluteClean2_C3.wav sourceMidi=72 shift=0 playbackRate=1.000 key=G Major|hole-4|C5 pointer=0
 LOG  [BambooFlute press] hole=5 degree=5 scale=G Major target=D5 targetMidi=74 source=FluteClean2_D#3.wav sourceMidi=75 shift=-1 playbackRate=0.944 key=G Major|hole-5|D5 pointer=0
 LOG  [BambooFlute press] hole=6 degree=6 scale=G Major target=E5 targetMidi=76 source=FluteClean2_D#3.wav sourceMidi=75 shift=1 playbackRate=1.059 key=G Major|hole-6|E5 pointer=0
 LOG  [BambooFlute release] hole=6 degree=6 scale=G Major target=E5 targetMidi=76 source=FluteClean2_D#3.wav sourceMidi=75 shift=1 playbackRate=1.059 key=G Major|hole-6|E5 pointer=0
iOS Bundled 48ms node_modules\expo\AppEntry.js (1 module)
 WARN  SafeAreaView has been deprecated and will be removed in a future release. Please use 'react-native-safe-area-context' instead. See https://github.com/th3rdwave/react-native-safe-area-context
 LOG  [BambooFlute mapping] E Major
hole=1 target=E4 source=FluteClean2_D#2.wav shift=1 playbackRate=1.059 key=E Major|hole-1|E4
hole=2 target=F#4 source=FluteClean2_F#2.wav shift=0 playbackRate=1.000 key=E Major|hole-2|F#4
hole=3 target=G#4 source=FluteClean2_A2.wav shift=-1 playbackRate=0.944 key=E Major|hole-3|G#4
hole=4 target=A4 source=FluteClean2_A2.wav shift=0 playbackRate=1.000 key=E Major|hole-4|A4
hole=5 target=B4 source=FluteClean2_C3.wav shift=-1 playbackRate=0.944 key=E Major|hole-5|B4
hole=6 target=C#5 source=FluteClean2_C3.wav shift=1 playbackRate=1.059 key=E Major|hole-6|C#5
hole=7 target=D#5 source=FluteClean2_D#3.wav shift=0 playbackRate=1.000 key=E Major|hole-7|D#5
 LOG  [BambooFlute press] hole=1 degree=1 scale=E Major target=E4 targetMidi=64 source=FluteClean2_D#2.wav sourceMidi=63 shift=1 playbackRate=1.059 key=E Major|hole-1|E4 pointer=0
 LOG  [BambooFlute press] hole=2 degree=2 scale=E Major target=F#4 targetMidi=66 source=FluteClean2_F#2.wav sourceMidi=66 shift=0 playbackRate=1.000 key=E Major|hole-2|F#4 pointer=0
 LOG  [BambooFlute press] hole=3 degree=3 scale=E Major target=G#4 targetMidi=68 source=FluteClean2_A2.wav sourceMidi=69 shift=-1 playbackRate=0.944 key=E Major|hole-3|G#4 pointer=0
 LOG  [BambooFlute press] hole=4 degree=4 scale=E Major target=A4 targetMidi=69 source=FluteClean2_A2.wav sourceMidi=69 shift=0 playbackRate=1.000 key=E Major|hole-4|A4 pointer=0
 LOG  [BambooFlute press] hole=5 degree=5 scale=E Major target=B4 targetMidi=71 source=FluteClean2_C3.wav sourceMidi=72 shift=-1 playbackRate=0.944 key=E Major|hole-5|B4 pointer=0
 LOG  [BambooFlute press] hole=6 degree=6 scale=E Major target=C#5 targetMidi=73 source=FluteClean2_C3.wav sourceMidi=72 shift=1 playbackRate=1.059 key=E Major|hole-6|C#5 pointer=0
 LOG  [BambooFlute press] hole=7 degree=7 scale=E Major target=D#5 targetMidi=75 source=FluteClean2_D#3.wav sourceMidi=75 shift=0 playbackRate=1.000 key=E Major|hole-7|D#5 pointer=0
 LOG  [BambooFlute release] hole=7 degree=7 scale=E Major target=D#5 targetMidi=75 source=FluteClean2_D#3.wav sourceMidi=75 shift=0 playbackRate=1.000 key=E Major|hole-7|D#5 pointer=0
